Tumor_Barcode	PGA	PGA_Subclonal	PGA_TETRA	PGA_LOH	PGA_Haploid_LOH	MCN	MCN_WGD	MCN_CHR	DPClust_Mutations	ASCAT_Purity	ASCAT_Ploidy	BB_Purity	BB_Ploidy	CCUBE_Purity	GOF	High_Purity	WGD_MP2_Number	WGD_MP2_Ratio	WGD_EVEN_Ratio	nWGD_CCF_MCluster	nWGD_CCF_MCluster_Detail	nWGD_Substantial_Segment	nWGD_Substantial_Segment_Detail	Super_Cluster_1	Super_Cluster_5	Super_Cluster_10	Homozoygous_Deletion	Homozoygous_Deletion2	Homozoygous_Deletion_Detail	DPCLUST_Detail
NALC-0016-T01	0.8513319897891749	0.24981658315077285	0.025443513613488306	0.3726850002706511	0.23407491693970575	0.7740489446600022	WGD	19	3404	0.48	2.49079608265576	0.46368	2.44097960281804	0.5372557907078503	0.69176834051386	""	100	0.14	0.25306682354705373	0	""	7	chr8:104.41|chr14:12.82|chr20:13.04|chrX:31.29|chrX:19.91|chrX:33.64|chrX:58.9	0	0	0	0	N	""	C1|1.03|2501; C2|0.79|158; C3|0.32|718
NALC-0017-T01	0.3779714832014507	0.19842148946079893	0.01774775295069716	0.2861220899238904	0.15870999966939756	0.30659449890892965	nWGD	6	102666	0.13	2.18084993397639	0.1261	2.15148152074492	0.26671796287901345	0.271273218691046	""	2100	0.5304761904761904	0.2251214790053297	0	""	13	chr1:82.21|chr1:20.04|chr3:38.74|chr5:46.26|chr5:131.12|chr6:25.46|chr7:16.88|chr13:96.17|chr15:25.72|chr16:36.13|chr16:43.67|chr18:15.35|chr18:59.3	1	1	1	0	N	""	C2|1.2|98734
NALC-0018-T01	0.20836032628836682	0.03251504942565111	0	0.1403335973176518	3.7282553146137645e-5	0.07447706665944506	nWGD	1	3293	0.43	1.92067293020865	0.42054	1.92316912562433	0.570007813500508	0.803791676137383	""	0		0.002878939222777812	0	""	0	""	0	0	0	0	N	""	C1|1.03|2754; C3|0.35|480
NALC-0019-T01	0.912107273555189	0.23002276546498096	0.275130812199386	0.2778189213971663	0.20444885809725705	0.9052451701623829	WGD	21	6754	0.6	3.30827698358258	0.615	3.16749516865358	0.6240450263045715	0.720406081885914	""	1847	0.24038982133188955	0.5228970471826521	0	""	0	""	0	0	0	0	N	chr8:2:7.92	C1|0.98|5902; C2|0.79|72; C3|0.33|693
NALC-0020-T01	0.7987620230654133	0.47361703252600834	0.3330617015908293	0.037520579838193666	0.022774145492929932	0.7828284669687211	WGD	18	3829	0.23	3.43567254781963	0.22241	3.12081307126253	0.3034256050955516	0.242084989258732	""	648	0.11728395061728394	0.39745019872598353	0	""	6	chr2:64.88|chr5:14.67|chr12:41.58|chr13:95.86|chr14:86.98|chr15:84.83	1	0	0	0	N	""	C1|1.26|54; C2|0.88|3741
NALC-0021-T01	0.0034315448512576853	0.0033438242048857477	0	0.002582790315335927	1.7321631563297255e-4	9.873024338524158e-4	nWGD	0	613	1	2.00187019879421	0.906	1.99805940999086	0.2797255978878646	0.0656327264553832	|ASCAT_Purity	0		9.628316457733811e-5	0	""	0	""	0	0	0	0	N	""	C3|0.082|575
NALC-0022-T01	0.11575579742208536	0.02286903298060972	0	0.03784330148488318	0	0.08110921688757283	nWGD	0	64206	0.3	2.12714353737011	0.3123	2.07820668628783	0.4550795072716665	0.742539865472542	""	0		0.0022476394807808917	1	nMut = 2678; Ratio = 0.04	2	chr7:10.85|chr7:13.49	0	0	0	0	N	chr9:1:0.93	C3|1.01|61283; C4|0.48|2678
NALC-0023-T01	0.9033783967002795	0.15346632049458384	0.10509411884617648	0.24831003478497346	0.1821974129766855	0.87594891506287	WGD	20	16007	0.27	3.30722484741488	0.26541	3.23685536741049	0.40931653305276833	0.812944681626213	""	261	0.47126436781609193	0.33728844120060575	0	""	3	chr6:28.34|chr18:15.58|chr18:59.25	0	0	0	0	N	""	C3|1|15920
NALC-0024-T01	0.0015859428125895789	0.00139339717539113	0	0.0014773046092321337	1.102364633809053e-4	2.1887466673835033e-4	nWGD	0	1655	1	2.00066233439653	0.961	2.00007547972053	0.21725735990693312	0.0228384991843393	BB_Purity|ASCAT_Purity	0		1.1461472804701711e-4	0	""	0	""	1	0	0	0	N	""	C1|1.62|55; C3|0.14|1584
NALC-0025-T01	0.19726256638525952	0.07430626233958111	0	0.13211765092893452	0.011255656076818275	0.08248045303121757	nWGD	2	2938	0.21	2.00905464733145	0.22008	1.98737893781599	0.23938009279280326	0.323699171919417	""	0		0.014686806881497922	0	""	6	chr6:12.33|chr9:43.2|chr9:77.66|chr12:98.42|chr14:82.39|chr21:23.65	1	1	1	1	Y	chr8:1:43.66	C2|1.11|754; C3|0.72|2154
NALC-0026-T01	0.8756279354067069	0.18041540918530338	0.201640705427077	0.22163113101823256	0.14544867708769163	0.8682935382459948	WGD	20	86763	0.24	3.54105471270077	0.25176	3.40267279695911	0.37451478357201856	0.758979699545737	""	5790	0.4917098445595855	0.5148806442474931	0	""	0	""	0	0	0	0	N	""	C2|1.1|86542
NALC-0027-T01	0.7750027696164702	0.3399001915056341	0.2990777080240379	0.14256133618469252	0.1393628649440309	0.7631045010625911	WGD	18	29165	0.31	3.27591207438696	0.32023	3.18047477510844	0.5545501591766302	0.285927179228083	""	2793	0.12388113139992839	0.43848312581943494	0	""	4	chr5:17.16|chr7:10.55|chr18:15.32|chr18:55.9	0	0	0	0	N	chr9:1:3.1	C1|1.1|28955
NALC-0028-T01	0.2510755110953632	4.556603999514402e-4	0	0.04160231684411957	9.044974047949788e-5	0.19034616114544095	nWGD	5	8837	0.25	2.23887438832103	0.24725	2.19776380193345	0.47143925879573656	0.982488148018085	""	0		0.0010144643437976506	0	""	0	""	0	0	0	0	N	""	C1|1|8796
NSLC-0001-T01	0.9262950347553648	0.10378953433168006	0.128634888054752	0.30244654177665375	0.17311812730069095	0.9067952197765827	WGD	21	6939	0.16	3.3540227713022	0.15472	3.1786617325949	0.2151671761332141	0.862975793293232	""	135	0.2740740740740741	0.3482940014691765	0	""	2	chr5:28.27|chr17:12.48	0	0	0	0	N	""	C2|1.1|6869
NSLC-0002-T01	0.8275535152301368	0.09110291081749648	0.2374422729828792	0.39840792105945644	0.301028632223196	0.792669372367727	WGD	17	6356	0.54	2.78575788516413	0.52974	2.67514089154103	0.538716993678157	0.840190371225845	""	408	0.2622549019607843	0.5622504016718446	0	""	2	chr7:50.3|chr22:11.64	0	0	0	0	Y	chr13:15:12.2	C1|1.02|4265; C2|0.79|280; C3|0.31|1756
NSLC-0003-T01	0.2534411902952924	0.025730719755875986	0	0.08596434135616388	0.06010090851196425	0.18704673054430473	nWGD	5	4806	0.63	2.12170226720978	0.61362	2.13281422571698	0.6310651069072558	0.84093207053607	""	0		0.05136750915258478	1	nMut = 495; Ratio = 0.1	0	""	0	0	0	0	N	chr9:1:0.76	C1|1.02|3134; C2|0.74|179; C3|0.51|495; C4|0.26|949
NSLC-0004-T01	0.8763070167222935	0.03881667057515151	0.28813379585245175	0.1004279964188967	0.09396120832973483	0.8710626400844041	WGD	20	9055	0.14	3.74207713668771	0.14322	3.53237909077788	0.35671420873846144	0.900756877542336	""	21	0.09523809523809523	0.48294517896982836	0	""	0	""	1	1	1	0	N	""	C3|1.1|8978
NSLC-0005-T01	0.47229774844817024	0.22641860706101757	5.628212229667388e-4	0.33767513224477586	0.14432126074730547	0.3157355340697451	nWGD	7	20112	0.45	2.24591156581592	0.47115	2.03962806530888	0.5706652516900098	0.370666696186499	""	0		0.16801509068752704	0	""	0	""	0	0	0	1	Y	chr17:1:22.59	C1|0.95|9898; C2|0.74|3212; C3|0.34|6921
NSLC-0006-T01	0.0011113858464246059	1.1455889587525581e-4	0	0.0010944641162523878	0	1.6921730172217976e-5	nWGD	0	968	0.89	1.97209644027418	0.85084	1.97670253019394	0.6919543229060575	0.0326869806094183	""	0		0	0	""	0	""	0	0	0	0	N	""	C1|0.82|288; C2|0.35|215; C3|0.15|451
NSLC-0007-T01	0.008543432732831993	0.007723548792553899	0	0.0027854935162393672	0	0.006070451742877373	nWGD	0	2520	1	2.01427096841013	0.922	2.01563695345534	0.24000470295861617	0.00502998529326199	|ASCAT_Purity	0		0	0	""	0	""	1	1	1	0	N	""	C1|1.15|299; C2|0.81|43; C3|0.39|193; C4|0.19|1962
NSLC-0008-T01	0.2737806103754041	0.1056037296623553	0	0.2041557816971982	0	0.07530700569834342	nWGD	2	5003	0.41	1.80318734885918	0.40754	1.77056959096552	0.5174170816048163	0.47723653452599	""	0		0.002080967925117628	1	nMut = 1264; Ratio = 0.25	9	chr2:91.85|chr3:79.32|chr5:47.09|chr5:131.12|chr10:27.29|chr16:36.22|chr16:43.69|chr19:25.54|chr21:33.46	0	0	0	0	N	chr1:1:0.23|chrX:1:2.43	C1|1.00|3410; C2|0.51|1264; C3|0.32|307
NSLC-0009-T01	0.9475615718511404	0.11667428836249111	0.042049771156336804	0.5285156321189154	0.024569552237975165	0.945959305478239	WGD	22	4901	0.14	4.62339263596257	0.13454	4.82131670099535		0.806444653643995	""	59	0.06779661016949153	0.4695059227868218	0	""	0	""	0	0	0	0	N	""	C1|1.1|4882
NSLC-0010-T01	0.0039025429775059435	0.003902517934040941	0	0.0038755930787295074	2.504346500307696e-8	2.6974942241439274e-5	nWGD	0	488	1	2.01448362831214	0.962	1.98649738062723	0.1153427180456745	2.22401626200691e-5	BB_Purity|ASCAT_Purity	0		2.6469231735824332e-8	0	""	0	""	0	0	0	0	N	""	C2|0.56|33; C3|0.12|430
NSLC-0011-T01	0.6954474375473578	0.42098819826578493	0.2094898901574824	0.1603205165571261	0.12188472319884397	0.6416837082982246	WGD	13	10387	0.36	3.07080115753949	0.351	2.70400803564639	0.5647513091184726	0.378345675841502	""	2550	0.2192156862745098	0.31724208576180896	1	nMut = 3276; Ratio = 0.32	2	chr13:95.87|chr19:23.79	1	1	0	0	N	""	C1|1.16|810; C2|0.92|6261; C3|0.49|3276
NSLC-0012-T01	0.8497133384062437	0.3319426578648239	0.2795880771074013	0.13161093218709646	0.07788600439107612	0.8406671253929165	WGD	20	6502	0.25	3.54953724567811	0.2395	3.43979734219372	0.36313732344795957	0.5001243185846	""	462	0.15151515151515152	0.35862699153230776	0	""	1	chr4:110.08	0	0	0	0	N	chr1:1:0.23	C3|0.99|6445
NSLC-0013-T01	0.433639936751832	0.3965542475613597	9.516683052080165e-4	0.039960206865029824	0.0025181293924465722	0.41770291348040545	nWGD	11	4006	0.59	2.30055825785456	0.56286	2.20209106990245	0.5045492471931032	0.0925870031302564	""	14	0.5	0.004775951696825268	0	""	0	""	0	0	0	0	N	""	C3|0.85|3099; C4|0.61|499; C5|0.28|358
NSLC-0014-T01	0.013053278307099275	0	0	0.013053278307099275	0	1.1819124177841044e-6	nWGD	0	1135	0.83	1.97112100031154	0.82336	1.96595497367808	0.8139244660267467	0.831833751998173	""	0		1.2274987082644203e-6	0	""	0	""	0	0	0	0	N	""	C1|0.99|687; C2|0.44|137; C3|0.17|301
NSLC-0015-T01	0.17170008874870854	0.11221202121501027	0	0.12239739764750379	0	0.04615443643580791	nWGD	0	4670	0.52	1.85804632664857	0.53196	1.8992104692669	0.5104722764847585	0.092344959331981	""	0		0.002531946892860445	1	nMut = 1178; Ratio = 0.25	1	chr9:17.45	0	0	0	0	N	chr1:1:0.2|chr15:1:2.96|chr22:1:0.89	C2|0.91|1323; C3|0.55|1178; C4|0.26|2120
NSLC-0016-T01	0.011097666535888666	0.009490598296698136	0	0.011050714042184913	0	4.950084335990136e-5	nWGD	0	1551	0.86	1.96986538669832	0.85484	1.97368710109693	0.8507616224995682	0.0181643812086685	""	0		0	1	nMut = 338; Ratio = 0.22	2	chr2:11.04|chr12:14.72	0	0	0	0	N	""	C1|1.00|450; C2|0.58|281; C3|0.49|338; C4|0.16|468
NSLC-0017-T01	0.6569931965413408	0.10936517688563506	0.05528433455904098	0.2918775282651833	0.18812409553917447	0.6123967359764062	WGD	15	6524	0.4	2.51913797757962	0.3972	2.46869942455709	0.5659698050595393	0.790899627595929	""	481	0.11434511434511435	0.2669007186010294	0	""	1	chr21:33.46	0	0	0	0	N	chr1:1:0.23|chr9:1:1.52|chrX:1:2.76	C2|0.96|6401; C3|0.36|73
NSLC-0018-T01	0.9186716340169251	0.025142125221535624	0.4089420448384309	0.14448818087919224	0.11909519245767784	0.9052233642608833	WGD	22	10882	0.29	3.67122249968703	0.28565	3.54028082277615	0.3243939027196011	0.966997881763913	""	0		0.5761451908579451	0	""	1	chr16:14.39	0	0	0	0	N	chr17:1:0.25	C2|0.99|10536
NSLC-0019-T01	0.003036008321225681	0.003036008321225681	0	0.003036008321225681	0	0	nWGD	0	73	1	2.0125336977686	0.95	1.98654815839926	0.5013412822098847	0.00114242193450114	|ASCAT_Purity	0		0	0	""	0	""	0	0	0	0	N	""	C3|0.14|57
NSLC-0020-T01	0.7808499320161404	0.3583844067961506	0.013033756230477572	0.29982535397071697	0.18071266537576464	0.7757136780395764	WGD	18	49845	0.42	3.17700156825296	0.441	2.90897457774681	0.598583588971667	0.483738575642096	""	494	0.20040485829959515	0.28251225063839	0	""	8	chr2:60.25|chr2:79.5|chr2:23.68|chr2:76.53|chr3:90.24|chr6:28.33|chr6:137.08|chr20:64.22	0	0	0	0	N	chr1:1:0.2|chr10:1:0.02|chr9:1:1.02	C3|1.00|44746; C4|0.45|4989
NSLC-0021-T01	0.9347285330319414	0.007574160912839511	0.26271918351712065	0.1071437084412138	0.08002847490339163	0.9121267936497461	WGD	21	3504	0.16	3.28893742401929	0.1624	3.1402806284838	0.21115609610574143	0.985364234612278	""	0		0.38958036684678254	0	""	0	""	1	1	1	0	N	chr9:1:3.06	C1|1.1|3397
NSLC-0022-T01	0.002780948093007653	0	0	0.002780948093007653	9.302255945031809e-6	0.002780948093007653	nWGD	0	1336	0.65	1.97470878925299	0.65	1.97457028963205	0.7313971558074989	0.0039714058776807	""	0		0.0029039438990333846	0	""	0	""	1	1	1	0	N	""	C1|1.36|157; C2|1.08|487; C3|0.83|21; C7|0.24|645
NSLC-0023-T01	0.09060162090103802	0.0034665074104767964	0	0.09059735372221946	0	4.49878022708052e-6	nWGD	0	1277	0.89	1.89307223696701	0.89267	1.86650460920702	0.8682141419146601	0.965002978469917	""	0		0	1	nMut = 41; Ratio = 0.03	0	""	0	0	0	0	N	""	C3|1.00|385; C4|0.53|41; C5|0.15|839
NSLC-0024-T01	0.8455683921232304	0.033887739882460376	0.02267764172961754	0.29367440851620386	0.2324493527534821	0.7901934310697731	WGD	17	3446	0.13	2.78492593474408	0.12376	2.7248626588981	0.14818584848843214	0.971256385366969	""	0		0.26221130202122117	0	""	1	chr11:19.59	1	1	1	1	Y	chr19:1:28.2	C1|1.1|3436
NSLC-0025-T01	0.05221077610541403	7.565895439595229e-4	0	0.05221077610541403	0	0.0019477360123637529	nWGD	0	459	0.18	1.87912919801262	0.1719	1.91049404975794	0.2869926956313888	0.964975871781994	""	0		0.0013799388404947678	0	""	0	""	0	0	0	0	N	chr1:1:0.23|chrX:1:2.29	C2|0.94|444
NSLC-0026-T01	0.9188219859214197	0.18200411809017583	0.12430214400394517	0.3117285243850812	0.2573242313025671	0.9003697796998941	WGD	21	4658	0.33	3.08900379811686	0.31449	2.97451414230601	0.3086816594725298	0.7503867051976	""	58	0.2413793103448276	0.4371174778300409	1	nMut = 791; Ratio = 0.17	3	chr1:25.17|chr8:11.28|chr12:86.82	0	0	0	0	N	chr11:1:0.2	C1|1.00|3820; C2|0.54|791
NSLC-0027-T01	0.32823110868395344	0.07042952972307415	0.015534994738412465	0.046365512475769484	4.785482353742989e-6	0.2460555789577074	nWGD	5	2845	0.63	2.22811128800256	0.62055	2.18322133274012	0.6244334474843989	0.768164968616392	""	84	0.08333333333333333	0.017242332836902782	0	""	0	""	0	0	0	0	N	chr1:1:0.04	C1|1.00|1090; C2|0.63|271; C3|0.32|1469
NSLC-0028-T01	0.24010155051551693	8.437526263757331e-4	0	0.24010155051551693	3.718522689351068e-5	0.001985169036025296	nWGD	0	3129	0.29	1.72015942612167	0.29	1.6729614951014	0.2905306812009008	0.536654849789026	""	0		0.024040782015449184	1	nMut = 642; Ratio = 0.21	0	""	0	0	0	1	Y	chr1:1:0.22|chr19:1:58.29|chr22:1:1.86|chrX:1:2.22	C1|1.01|2475; C2|0.47|642
NSLC-0029-T01	0.37017837690035144	0.0013698427530780277	0.015455700339625768	0.11038830434400028	0.0674061945766163	0.3298207572218461	nWGD	7	5232	0.39	2.22002020050111	0.39507	2.18163153408771	0.5355335406435648	0.993385354010765	""	0		0.09031828660172833	0	""	0	""	0	0	0	0	N	chr15:1:2.97	C1|0.99|4969; C2|0.40|241
NSLC-0030-T01	0.84551830044548	0.2809714015295484	0.2601914250941345	0.005139216763392461	0.0021774614446116477	0.8604191691972259	WGD	20	3325	0.14	3.45564773049528	0.1351	3.37664743484262	0.13156092540835826	0.627105861366457	""	604	0.041390728476821195	0.318342074243268	0	""	6	chr1:94.72|chr3:17.28|chr6:28.43|chr7:62.16|chr11:80.53|chrX:53.84	0	0	0	0	N	""	C1|1.1|3267
NSLC-0031-T01	0.20792843705492828	0	0	0.1711686739065316	6.356118374256638e-4	0.039305941974384806	nWGD	0	2688	0.36	1.8242181740128	0.36	1.7838698126519	0.5605631232589161	0.992382967156347	""	0		0.0027291061425307214	0	""	0	""	0	0	0	0	N	chr1:1:0.23|chrX:1:1.62	C1|1.07|991; C2|0.95|1028; C3|0.40|637
NSLC-0032-T01	0.3138464355915565	0.04680616652557028	4.341987266607089e-4	0.24571211131344925	0.01563101363812078	0.08476286817075292	nWGD	1	7513	0.54	1.88673678811986	0.54864	1.81029018844202	0.6234947630805038	0.738783576205753	""	0		0.017161455860848312	0	""	1	chr1:21.62	0	0	0	0	N	chr1:1:0.2|chr19:1:0.08|chr9:1:0.32	C3|0.98|6217; C4|0.65|111; C5|0.27|1131
NSLC-0033-T01	0.45430933505804516	0.3309779230978014	0.08636017712318277	0.013489208125456596	6.532406108521971e-8	0.46474573692416987	nWGD	8	5075	0.89	2.40472709467394	0.84639	2.56078819127007	0.5530869913670948	0.058405829319501	""	0		0.09631347404294913	0	""	3	chr16:19.28|chr17:56.57|chr21:22.27	0	0	0	0	N	""	C1|1.08|337; C3|0.72|2475; C4|0.40|751; C5|0.21|1439
NSLC-0034-T01	0.05435212951030108	0.05009438210049305	0	0.05435212951030108	0	0.0033761265605340434	nWGD	0	1583	0.3	1.92025202309234	0.3	1.93244936594579	0.8193169554274957	0	""	0		0.004519488308337339	1	nMut = 624; Ratio = 0.39	0	""	3	1	1	2	Y	chr15:1:3.2|chrX:2:86.19	C2|2.80|816; C3|1.84|54; C4|1.13|37; C5|0.49|624
NSLC-0035-T01	0.001194217863695439	0.001194217863695439	0	0.0011734441524313382	0	2.1901205796996444e-5	nWGD	0	1748	1	2.01295366424836	0.95	1.98627959376187	0.8599162920292001	0	|ASCAT_Purity	0		0	0	""	0	""	0	0	0	0	N	""	C1|0.94|757; C2|0.72|262; C3|0.33|58; C4|0.16|654
NSLC-0036-T01	0.8795877913311301	0.138408204928793	0.45634664933822994	0.05599394025240393	0.025600552986256676	0.874390866496383	WGD	20	3876	0.17	3.80394007965769	0.16371	3.71301669931295	0.18563477656704502	0.674476929329513	""	258	0.2054263565891473	0.569988700023105	0	""	3	chr11:50.62|chr11:16.94|chr16:43.69	0	0	0	0	N	chr1:1:0.18	C2|1|3824
NSLC-0037-T01	0.3158257877326169	0.02182735306801878	0	0.28325300107471246	0.005311712864755993	0.04186959939981555	nWGD	1	4930	0.27	1.61974021786943	0.28215	1.69747246145875	0.35406999390345867	0.765750020221308	""	0		0.00787473642552284	0	""	2	chr1:14.54|chr7:66.85	0	0	0	0	N	""	C1|1.05|558; C2|0.58|4347
NSLC-0038-T01	0.001797977135123061	0.0017316328224190763	0	0.0017455555976571757	4.38364985324693e-6	5.680518731913214e-5	nWGD	0	699	1	2.01707900872656	0.909	1.99357834489306	0.2521908067007403	0.00160485413414822	|ASCAT_Purity	0		1.90529580703701e-5	0	""	0	""	0	0	0	0	N	chr14:1:0.04	C2|0.67|21; C3|0.31|570; C4|0.19|98
NSLC-0039-T01	0.43713816580024756	0.1395928920137803	2.4531430491534883e-4	0.1071852914309518	0.016161440487752202	0.3805576767969447	nWGD	7	4987	0.5	2.43390873124128	0.4785	2.37854561991757	0.5918758858154503	0.679437419722735	""	1	0	0.017137276637244528	0	""	0	""	0	0	0	0	N	""	C2|0.99|3782; C3|0.66|883; C4|0.36|298
NSLC-0040-T01	0.0012527703270343248	3.3054238844721517e-4	0	0.0012527703270343248	0	0	nWGD	0	173	1	2.00378323541669	0.904	1.99462816131015	0.49948570090178174	4.37162009002299e-4	|ASCAT_Purity	0		0	0	""	0	""	0	0	0	0	N	""	C4|0.14|160
NSLC-0041-T01	0.6600153164402252	0.414047637855937	0.006557599091494337	0.47262710279649645	0.25617282874204	0.43413785086684903	nWGD	10	5221	0.3	2.07154802260232	0.3138	1.93128660067263	0.5089312251366589	0.289285167510635	""	32	0.25	0.2596572016527162	1	nMut = 331; Ratio = 0.06	14	chr3:91.46|chr3:53.09|chr4:32.87|chr5:130.12|chr6:103.14|chr9:77.69|chr10:46.28|chr10:87.07|chr12:133.08|chr16:36.22|chr16:42.73|chr18:15.73|chr21:33.46|chrX:10.97	0	0	0	1	Y	chr1:1:0.23|chr20:3:26.8|chrX:2:2.85	C2|0.99|4812; C3|0.47|331
